Time,Bullet Speed,GSR

20:51:43,0,

20:51:43,0,528

20:51:43,0,528

20:51:43,0,528

20:51:43,0,529

20:51:43,0,529

20:51:43,0,528

20:51:43,0,529

20:51:43,0,529

20:51:43,0,529

20:51:43,0,530

20:51:43,0,529

20:51:43,0,529

20:51:43,0,529

20:51:43,0,529

20:51:43,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,528

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,529

20:51:44,0,530

20:51:44,0,529

20:51:44,0,529

20:51:44,0,529

20:51:44,0,530

20:51:44,0,530

20:51:44,0,529

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,530

20:51:44,0,529

20:51:44,0,530

20:51:44,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,531

20:51:45,0,530

20:51:45,0,531

20:51:45,0,531

20:51:45,0,530

20:51:45,0,530

20:51:45,0,530

20:51:45,0,531

20:51:45,0,530

20:51:45,0,530

20:51:45,0,531

20:51:45,0,531

20:51:45,0,531

20:51:45,0,531

20:51:45,0,531

20:51:45,0,531

